Nome,Estrelas,Texto,Data
ika rufaida,undefined undefined undefined undefined undefined,"Makasih ya sudah memudahkan ururan kami di airy room harga super terjangkau terus berapapun harga kamar tetep dapat minum dan snack ,beberapa aplikasi lain ngga ada layanan ini,thankyou❤️",30 Desember 2019 30 Desember 2019
Prayit Yes,undefined undefined undefined undefined undefined,Terima kasih aplikasi airy mantap. Memudahkan saya untuk pesan kamar hotel.,30 Desember 2019 30 Desember 2019
Jhonpy Musisi,undefined undefined undefined undefined undefined,Mantap,29 Desember 2019 30 Desember 2019
Aceng Ajj,undefined undefined undefined undefined undefined,"Mantapp,bersih,nyaman.. puas bngt pelayanannya,terimakasih Airy",29 Desember 2019 29 Desember 2019
Dapur Anna,undefined undefined undefined undefined undefined,Airy lebih bagus dibanding aplikasi2 yg baru,29 Desember 2019 29 Desember 2019
jack gering,undefined,Pesan kamr harus bayar tranfer apa di tempat,29 Desember 2019 29 Desember 2019
One Setyaningtias,undefined undefined undefined undefined,simple,29 Desember 2019 29 Desember 2019
Dian Abtomi,undefined undefined undefined undefined undefined,Ok,29 Desember 2019 29 Desember 2019
Nely Ruaida,undefined undefined undefined undefined undefined,mantap,29 Desember 2019 29 Desember 2019
Yahya Edo Wicaksono,undefined undefined undefined undefined undefined,Good job.. selanjutnya banyakin promo lagi yah.. heheheee.. *salam traveler backpacker,29 Desember 2019 29 Desember 2019
musa ajjah,undefined undefined undefined undefined undefined,ok mantap,29 Desember 2019 29 Desember 2019
Rahayu Ningtias,undefined undefined undefined undefined,Siaran tv nya lebih di bagusin aja biar ga kresekkresek chanel nya,29 Desember 2019 29 Desember 2019
Bambang Saputra,undefined undefined undefined undefined undefined,"Sekarang Harga Hotel nya agak mahal, kalo bisa dikurangin kaya dulu lagi, supaya customer atau pengguna bisa lebih memilih ke Airy, dan tidak melirik ke lain hati atau aplikasi yg lainnya.",29 Desember 2019 29 Desember 2019
Bambang Yulianto,undefined undefined undefined undefined undefined,"Luar biasa, mudah pembelian tiket pesawat & discount slalu ada",29 Desember 2019 29 Desember 2019
Fudin Lintin,undefined undefined undefined undefined undefined,Bagus tepatnya bersih smoga kdepan bisa lebih baik lg,29 Desember 2019 29 Desember 2019
Deni Sunarya,undefined undefined undefined undefined undefined,"Puassss bngt mesen tiket dr airy,,beda dr yg laen dh",29 Desember 2019 29 Desember 2019
Sahroni Sahroni,undefined undefined,Mau refund tiket pesawat susah banget,29 Desember 2019 29 Desember 2019
Indra Giri,undefined undefined undefined undefined,Top,29 Desember 2019 29 Desember 2019
Vikki Rikardo,undefined undefined undefined undefined undefined,Bersih dan murah meriah,29 Desember 2019 29 Desember 2019
hermi nurida,undefined undefined undefined undefined undefined,Memudahkan mencari Hotel,29 Desember 2019 29 Desember 2019
Herry Budhiawan,undefined undefined undefined,Ok,29 Desember 2019 29 Desember 2019
Asna Eny Raya,undefined undefined undefined undefined undefined,Satu yang paling kami sekeluarga suka. Selalu terjaga kebersihan dan keramahan pelayanannya.,29 Desember 2019 29 Desember 2019
Sri Wahyuni,undefined undefined undefined undefined undefined,Airy sangat bertanggung jawab dan respon cepat.. Thanks airy,29 Desember 2019 29 Desember 2019
arief hidayat,undefined undefined undefined undefined,Membantu mempermudah untuk menginap😎,29 Desember 2019 29 Desember 2019
Irawan Abdullah,undefined undefined undefined undefined undefined,Enak terus harga terjangkau,29 Desember 2019 29 Desember 2019
Ahen Theresia,undefined,Sangat kecewa dengan penginapan airy room eco syariah ruko kali deres indah. Pelayanan resepsionis nya sangat tidak menyenangkan.jutek kyk gua numpang tidur gratis aja..sgt tdk profesional..pesan tidur rencananya semalam aja tapi eh sgt kecewa dan sebel bgt dgn resepsionis nya.,29 Desember 2019 29 Desember 2019
Idah Masutdah,undefined undefined undefined undefined undefined,Mantul,29 Desember 2019 29 Desember 2019
Irmanto Rahman,undefined undefined undefined undefined undefined,Mantap,28 Desember 2019 28 Desember 2019
santoso toso,undefined undefined undefined undefined undefined,Ok,28 Desember 2019 28 Desember 2019
Syafii Madu,undefined undefined undefined undefined undefined,Saya sering puas nginap di Airy..meskipun ada bbrp tempat Airy yg kurang sesuai. Semoga terus ditingkatkn pelayanannya dan ada kontrol dari pusat untk anggota Airy room,28 Desember 2019 28 Desember 2019
BHP RIAU,undefined undefined undefined undefined undefined,Good,28 Desember 2019 28 Desember 2019
kam fakhira,undefined undefined undefined undefined undefined,Cari Tiket yg cepat pakai Airy.....,28 Desember 2019 28 Desember 2019
hafidz septiadi,undefined undefined undefined undefined undefined,LUMAYAN,28 Desember 2019 28 Desember 2019
Achmad Afendi,undefined undefined undefined,Avarage is good,28 Desember 2019 28 Desember 2019
Muhammad Hafiz,undefined undefined undefined undefined undefined,Goodtraveling,28 Desember 2019 28 Desember 2019
Ichlasul Amal,undefined undefined undefined undefined undefined,Sangat memuaskan guys😍,28 Desember 2019 28 Desember 2019
Andri Yansyah,undefined undefined undefined undefined,👍🏻,28 Desember 2019 28 Desember 2019
Erciko Erciko,undefined undefined undefined undefined undefined,"Pelayanan yang puas,dan diskon yang puas",28 Desember 2019 28 Desember 2019
Sugeng Heryanto,undefined undefined undefined undefined undefined,Bagus dan simple,28 Desember 2019 28 Desember 2019
ghulam syaugi,undefined undefined,"Bersih, ramah",28 Desember 2019 28 Desember 2019
Liana Saridewi,undefined undefined undefined undefined undefined,Servis room diingkatkn lg yabak,28 Desember 2019 28 Desember 2019
imam armiya,undefined undefined undefined undefined undefined,Ok,28 Desember 2019 28 Desember 2019
Ferdy Jap,undefined,setiap mau bayar selalu berubah harganya ...,27 Desember 2019 27 Desember 2019
putra talang13,undefined undefined undefined undefined undefined,👍👍👍,27 Desember 2019 27 Desember 2019
akhmad aan,undefined undefined undefined undefined undefined,Tops,27 Desember 2019 27 Desember 2019
Cecep Teja Kusuma,undefined undefined undefined undefined,Cukup bagus,27 Desember 2019 27 Desember 2019
Juli Herawati,undefined undefined undefined undefined undefined,Mewah,27 Desember 2019 27 Desember 2019
bingar setiawidi,undefined undefined undefined undefined undefined,airy syariah oke,27 Desember 2019 27 Desember 2019
nanang ismail,undefined undefined undefined undefined undefined,Semoga makin banyak diskonnya,27 Desember 2019 27 Desember 2019
inong sarmila,undefined undefined undefined undefined undefined,"Bisa dibilang, paling murah si dibanding app yg lain..",27 Desember 2019 27 Desember 2019
Zulfialisma Hendra,undefined undefined undefined undefined undefined,Sangat membantu ketika sedang berada jauh dari tempat tinggal,27 Desember 2019 27 Desember 2019
Domo Trisukoco,undefined undefined undefined undefined undefined,Siiiip,27 Desember 2019 27 Desember 2019
benang jahit95,undefined undefined undefined undefined undefined,Ok,27 Desember 2019 27 Desember 2019
wahyu mahsyari,undefined undefined undefined undefined undefined,Mantapp membantu sekali,27 Desember 2019 27 Desember 2019
Abdullah Akhyar muttaqin,undefined undefined undefined undefined undefined,Lbh Murah sesuai dr pd pesan kamar dtmpt,27 Desember 2019 27 Desember 2019
florida Sinurat,undefined undefined undefined undefined undefined,cepat dan tepercaya 👍👍👍,27 Desember 2019 27 Desember 2019
Andi Eka Bureni #bureni,undefined undefined undefined undefined undefined,"Pelayanan ramah, kamar bersih... Terimakasih 🙏😇",27 Desember 2019 27 Desember 2019
Muhammad Nanda,undefined undefined undefined undefined undefined,Rrr,27 Desember 2019 27 Desember 2019
Priha Tyen96,undefined undefined undefined undefined undefined,Sangat memuaskan dan hrga murahhhh plyanan klas atas,27 Desember 2019 27 Desember 2019
Jenar Siti Maslakhah,undefined undefined undefined undefined undefined,Mantab,27 Desember 2019 27 Desember 2019
hidup paspasan,undefined undefined undefined undefined undefined,Bagus banget recomended,27 Desember 2019 27 Desember 2019
Yanuari Putri,undefined undefined undefined undefined,seneng sih bisa liburan tanpa keluar banyak budget thank you airy,27 Desember 2019 27 Desember 2019
Amin Abdullah,undefined undefined undefined undefined undefined,Harga hampir selalu lebih murah dibandingkan dengan aplikasi lainnya,26 Desember 2019 26 Desember 2019
tiga tujuh,undefined undefined undefined undefined undefined,mantap.,26 Desember 2019 26 Desember 2019
Ika Hardani,undefined undefined undefined undefined undefined,"Pertama kali pakai airy alhamdulillah tidak mengecewakan, layanan cepat, penginapan pun bagus, semoga tetap dipertahankan terima kasih airy",26 Desember 2019 26 Desember 2019
Yanus San09,undefined undefined undefined undefined,Menyenangkan,26 Desember 2019 26 Desember 2019
Mitra Penerjemah,undefined undefined undefined undefined undefined,Ok,26 Desember 2019 26 Desember 2019
Parlin Purba,undefined undefined undefined undefined undefined,Harga tiket pesawat nya Hemat.. five star..,26 Desember 2019 26 Desember 2019
Rivaldj Putra,undefined,Kenapa mau mesan lewat apliksi gabisa? Tulisannya gangguan pada server?,26 Desember 2019 26 Desember 2019
tira pekanbaru,undefined undefined undefined undefined undefined,Mantapp,26 Desember 2019 26 Desember 2019
Fariz Ramadhan,undefined undefined undefined undefined undefined,Mantul,26 Desember 2019 26 Desember 2019
Siska Marliya,undefined undefined undefined undefined undefined,Nice . Membantuu sekali,26 Desember 2019 26 Desember 2019
Ryad Nuredz,undefined undefined undefined undefined undefined,Airy memberikan pilihan harga hotel yg murah,26 Desember 2019 26 Desember 2019
theresia purwaningsih,undefined undefined undefined undefined undefined,Ok,26 Desember 2019 26 Desember 2019
Andriyanto Setyo,undefined undefined undefined undefined,Apik,26 Desember 2019 26 Desember 2019
Agustina Pertiwi,undefined undefined undefined undefined undefined,Airy paling murah.semua aplikasi ada kelebihan dan kekurangan.tetapi airy tidak kalah saingan.lain kali akan coba hotelnya juga,26 Desember 2019 26 Desember 2019
arland natalia,undefined undefined undefined undefined undefined,Kalau bisa.. Dari papua ke manado agak murah dikit lagi yaa.. Heheheheh,26 Desember 2019 26 Desember 2019
Nasir Pidin Pidin,undefined undefined,Coba dulu,26 Desember 2019 26 Desember 2019
azwar ali,undefined undefined undefined undefined undefined,Bagus,26 Desember 2019 26 Desember 2019
Asmari Wijaya,undefined undefined undefined undefined undefined,Mantul,26 Desember 2019 26 Desember 2019
YURi ENTV,undefined undefined undefined undefined undefined,Mantul,25 Desember 2019 25 Desember 2019
hasan sidik,undefined undefined undefined undefined undefined,Ok,25 Desember 2019 25 Desember 2019
Elfia Junita,undefined undefined undefined undefined,Beli tiket lebih murah dan gampang,25 Desember 2019 25 Desember 2019
Habib Joar,undefined undefined undefined undefined undefined,Cepat tanggap dan tepat,25 Desember 2019 25 Desember 2019
Akhbar Bayu,undefined undefined undefined undefined undefined,Ok,25 Desember 2019 25 Desember 2019
Halimah Bintang Mutiara,undefined undefined undefined undefined undefined,Terbantu dengan aplikasinya,25 Desember 2019 25 Desember 2019
arlan malikan,undefined undefined undefined,Belum pernah,25 Desember 2019 25 Desember 2019
Fredy Rasyid,undefined undefined undefined undefined undefined,Siip,25 Desember 2019 25 Desember 2019
Mila Karmila,undefined undefined undefined undefined undefined,Memudahkan sekale,25 Desember 2019 25 Desember 2019
Ade Jamaludin,undefined undefined undefined undefined undefined,OK,25 Desember 2019 25 Desember 2019
Rahmat Effendi,undefined undefined undefined undefined undefined,"Cepat juga pemesanan kamarnya, dan tdk ribet",25 Desember 2019 25 Desember 2019
Puspa Widiyanti,undefined undefined undefined undefined,Baru pertama pesan di airy mdh2 an hotel nya bagus,25 Desember 2019 25 Desember 2019
alie Ahmed,undefined undefined undefined undefined undefined,Dana g ribet &praktis,25 Desember 2019 25 Desember 2019
Haris Fadhillah,undefined undefined undefined undefined undefined,langganan.. Aplikasi yg mudah,24 Desember 2019 24 Desember 2019
Langkat Punya,undefined undefined undefined undefined undefined,Airy is The best .. mantull👍👍👍,24 Desember 2019 24 Desember 2019
andi janganlolo,undefined undefined undefined undefined undefined,Lebih murah dari yg lain,24 Desember 2019 24 Desember 2019
sdr minto,undefined undefined undefined undefined undefined,Murah,24 Desember 2019 24 Desember 2019
Edi Kurniawan,undefined undefined undefined undefined undefined,Is thebast,24 Desember 2019 24 Desember 2019
Ridwan Lim,undefined undefined undefined undefined undefined,Cepat .. gak pake lama ..,24 Desember 2019 24 Desember 2019
Putra Indonesia,undefined undefined undefined undefined undefined,Ok,24 Desember 2019 24 Desember 2019
Ridho Rizky,undefined undefined undefined undefined undefined,Good,24 Desember 2019 24 Desember 2019
Dimas Tri,undefined undefined undefined undefined undefined,Semoga Airy bisa terpercaya...,24 Desember 2019 24 Desember 2019
Mugy Astuti,undefined undefined undefined undefined undefined,Sangat membantu,24 Desember 2019 24 Desember 2019
maria santa,undefined undefined undefined undefined undefined,Good,24 Desember 2019 24 Desember 2019
Danilov Manangkalangi,undefined undefined undefined undefined undefined,Pelayanan baik dan cepat juga jelas,24 Desember 2019 24 Desember 2019
Ahmad Margolang,undefined undefined undefined undefined undefined,Terima kasih sdh banyak membantu perjalanan saya dan keluarga,24 Desember 2019 24 Desember 2019
Roy Hobb Damanik,undefined undefined undefined undefined undefined,👍,24 Desember 2019 24 Desember 2019
agung pra,undefined undefined undefined undefined,ok,24 Desember 2019 24 Desember 2019
Iwan Setiawan,undefined undefined undefined undefined undefined,"Good Application, Easy & Very Helpul",24 Desember 2019 24 Desember 2019
Kang tuan Hok,undefined undefined undefined undefined undefined,Mantap,23 Desember 2019 23 Desember 2019
Yully Setiawan,undefined undefined undefined undefined undefined,"Keren, mudah, dan simpel",23 Desember 2019 23 Desember 2019
aa Ferdy,undefined undefined undefined undefined undefined,Nice,23 Desember 2019 23 Desember 2019
Herawati Hera,undefined undefined undefined undefined undefined,"Aplikasi Airy sangat membantu saya,dan sangat memudahkan memesan kamar hotel dengan budget sesuai yang saya inginkan.dan proses pembayaran juga sangat cepat,tidak bertele-tele.top buat Airy.",23 Desember 2019 23 Desember 2019
bandung barat,undefined undefined undefined undefined undefined,Good,23 Desember 2019 23 Desember 2019
juliana j ning sarwati,undefined undefined undefined undefined undefined,Cepat dan harga bersaing,23 Desember 2019 23 Desember 2019
Zakaria Ritonga,undefined undefined undefined undefined undefined,Perjalanan Lebih Mudah dan Murah,23 Desember 2019 23 Desember 2019
Aris Wahyudi,undefined undefined undefined undefined undefined,Mantabb,23 Desember 2019 23 Desember 2019
Shindy Mattew claudia,undefined undefined undefined undefined undefined,Good tempat nya nyamn,23 Desember 2019 23 Desember 2019
Harry Karyanto,undefined undefined undefined undefined undefined,Kamar bersih dan tenang,23 Desember 2019 23 Desember 2019
Tampubolon Damos,undefined undefined undefined undefined undefined,Mudah dimengerti,23 Desember 2019 23 Desember 2019
Yuli Armelia,undefined undefined undefined undefined undefined,Keren,23 Desember 2019 23 Desember 2019
Muhammad Rayyan Abhad,undefined undefined undefined,"Masih banyak sekali bugnya, mau bayar selalu terjadi kesalahan, akhirnya harus buka lewat web. Mau liat kupon harus login padahal sudah login, dan masih banyak bug yg lain",23 Desember 2019 23 Desember 2019
taufik irma,undefined undefined undefined undefined undefined,Membantu,23 Desember 2019 23 Desember 2019
Anugrah Jaya,undefined undefined undefined undefined undefined,Good,23 Desember 2019 23 Desember 2019
Clarissa Laksmana,undefined undefined undefined undefined undefined,Sangat membantu bagi. Saya,23 Desember 2019 23 Desember 2019
Wahyu Hernandez,undefined undefined undefined undefined undefined,First day menginap di Airy 😚,23 Desember 2019 23 Desember 2019
Arif Budiyanto,undefined undefined undefined undefined undefined,Membantu,23 Desember 2019 23 Desember 2019
Achmad Anas,undefined undefined undefined undefined undefined,Oke,23 Desember 2019 23 Desember 2019
Syaidia Syahdat,undefined undefined undefined undefined undefined,Good,23 Desember 2019 23 Desember 2019
Tatang Mulyono,undefined undefined undefined undefined undefined,Penggunsan yg praktis,23 Desember 2019 23 Desember 2019
yosua 554508,undefined undefined undefined undefined undefined,Mudah dan ekonomis,23 Desember 2019 23 Desember 2019
Mr BBV,undefined undefined undefined undefined undefined,Yaowi,23 Desember 2019 23 Desember 2019
Anggi Maulana,undefined undefined undefined undefined,Sementara,23 Desember 2019 23 Desember 2019
Eko Roro Amie,undefined undefined undefined undefined undefined,Ok banget,23 Desember 2019 23 Desember 2019
Sifa Sulfiyah,undefined undefined undefined undefined undefined,Ok,23 Desember 2019 23 Desember 2019
Leos,undefined,Mengapa data pesanan hilang semua termasuk tiket pesawat yang sudah dibayar untuk penerbangan pada 23-12-2019 yg belum di gunakan ????????,23 Desember 2019 23 Desember 2019
aria kriswandi,undefined undefined undefined undefined undefined,Memudahkan mencari penginapan yang oke,22 Desember 2019 23 Desember 2019
Mohammad AY,undefined undefined undefined undefined undefined,Perbnyak diskonnya,22 Desember 2019 22 Desember 2019
edi bo,undefined undefined undefined undefined undefined,Harga insya Allah lbih murah dan sering byk promo,22 Desember 2019 22 Desember 2019
Robby Dharmawan,undefined undefined undefined,Kurang jos,22 Desember 2019 22 Desember 2019
Sinang Kurniawan3,undefined undefined undefined undefined undefined,Hotel bagus dan sesuai kantong,22 Desember 2019 22 Desember 2019
Elza Arvin,undefined undefined undefined undefined undefined,Pelayanan cepat....,22 Desember 2019 22 Desember 2019
Eli Ernawati,undefined undefined undefined undefined undefined,Nginap di airy harga ekonomis. Tempatnya nyaman karena selalu menginap di airy syariah. Semoga ke depannya airy banyak cabang di daerah lain. Sukses airy.,22 Desember 2019 22 Desember 2019
Ezy Geming,undefined undefined undefined undefined undefined,Goodlah,22 Desember 2019 22 Desember 2019
irfan andi,undefined undefined undefined undefined undefined,Mantap,22 Desember 2019 22 Desember 2019
Nurahman Rahman,undefined undefined undefined undefined undefined,okelah lah harga terjangkau bersih dan rapih,22 Desember 2019 22 Desember 2019
ersa bella,undefined undefined undefined undefined undefined,Nice,22 Desember 2019 22 Desember 2019
TLAMPAR PROPERTY JAYA,undefined undefined undefined undefined undefined,Mantap,22 Desember 2019 22 Desember 2019
Juki Kurniawan,undefined undefined undefined undefined undefined,Ok,22 Desember 2019 22 Desember 2019
yayan yulianto,undefined undefined undefined undefined undefined,Mudah dan cepat 👍,21 Desember 2019 21 Desember 2019
Usnul arif,undefined undefined undefined undefined,Ya lumayan lah,21 Desember 2019 21 Desember 2019
dina mariana,undefined undefined undefined undefined,Good,21 Desember 2019 21 Desember 2019
Lusiana Riski Yulia,undefined undefined undefined undefined undefined,Suka byk diskon,21 Desember 2019 21 Desember 2019
mamah muda,undefined,kali ini kasih bintang 1 sampai ada respon ga pernah kecewa sama airy tapi kali ini bener2 kecewa berat hotel/penginapan yg banyak komplain tolong jangan dimasukin juga deh pertama datang yg sambut bapa tua . dilanjut sama ibu tua . pesan deluxe tapi tv mati mau dikasih kamar standar jelas ga mau sa...Ulasan Lengkapkali ini kasih bintang 1 sampai ada respon ga pernah kecewa sama airy tapi kali ini bener2 kecewa berat hotel/penginapan yg banyak komplain tolong jangan dimasukin juga deh pertama datang yg sambut bapa tua . dilanjut sama ibu tua . pesan deluxe tapi tv mati mau dikasih kamar standar jelas ga mau saya bawa anak2 masa ga ada tv pindahlah ke kamar yg menurut sy bkn deluxe sesuai pesanan juga . belum lama liat tv ehhh mati dan rcp cuma bilang gangguan . sampe kapan ga tau .minta refund kemana ini,21 Desember 2019 21 Desember 2019
Wahyu Sinaga,undefined undefined undefined undefined,Lumayan,21 Desember 2019 21 Desember 2019
Andika Hadinegara,undefined undefined undefined undefined undefined,Bagus n bersih,21 Desember 2019 21 Desember 2019
Santi Elmina,undefined undefined undefined undefined undefined,Manfap,21 Desember 2019 21 Desember 2019
Aulia Fitri,undefined undefined undefined undefined undefined,Good,21 Desember 2019 21 Desember 2019
Deviana Kendra,undefined undefined undefined undefined undefined,Cepat n harga lebih murah,21 Desember 2019 21 Desember 2019
Mrs Nahuway,undefined undefined undefined undefined undefined,Terima kasih Airy..,21 Desember 2019 21 Desember 2019
asep saepuloh,undefined undefined undefined undefined undefined,Oke,21 Desember 2019 21 Desember 2019
Wendy Mlgtrans,undefined undefined undefined undefined undefined,Mudah cepat murah,21 Desember 2019 21 Desember 2019
mahLEE,undefined undefined undefined undefined undefined,okkk,21 Desember 2019 21 Desember 2019
Santi Asmara Dhani,undefined undefined undefined undefined undefined,Bagus dan memuaskan,21 Desember 2019 21 Desember 2019
Hinata Hyuga,undefined undefined undefined undefined undefined,Sangat memudahkan bagi yang suka keluar kota,21 Desember 2019 21 Desember 2019
Ami Ami,undefined undefined undefined undefined undefined,MantuL,21 Desember 2019 21 Desember 2019
Reynaldi Ode,undefined undefined undefined undefined undefined,Mantap,21 Desember 2019 21 Desember 2019
Nazril Amir,undefined undefined undefined undefined,amazing...,20 Desember 2019 21 Desember 2019
Nurnila Sinaga,undefined undefined undefined undefined undefined,Mudah di akses dan tidak ribet app nya. Kamar bersih dan murah,20 Desember 2019 21 Desember 2019
Nafas Marindo,undefined undefined undefined undefined undefined,"Tempat lain susah dapet tiket, Alhamdulillah di Airy terpenuhi",20 Desember 2019 21 Desember 2019
emy ningtyas,undefined undefined undefined undefined undefined,bagus,20 Desember 2019 20 Desember 2019
Fauzia Bta,undefined undefined undefined undefined undefined,"Nyaman sekali ,puas dgn fasilitasnya di airy rooms",20 Desember 2019 20 Desember 2019
Ahsanu Rara,undefined undefined undefined undefined undefined,Ciamik,20 Desember 2019 20 Desember 2019
Lis Agustina,undefined undefined undefined undefined undefined,Sangat puas,20 Desember 2019 20 Desember 2019
Zainal Ikin,undefined undefined undefined undefined undefined,Baguslah...kesan pertama gk mengecewakan,20 Desember 2019 20 Desember 2019
Trismiaji Aji,undefined undefined undefined undefined undefined,"Kamar bersih,pelayanan cepat.",20 Desember 2019 20 Desember 2019
kosa pra,undefined undefined undefined undefined undefined,👍,20 Desember 2019 20 Desember 2019
Alina Cilacap Ikhsan,undefined undefined undefined undefined undefined,Ok,20 Desember 2019 20 Desember 2019
novie widianingsih,undefined undefined undefined undefined undefined,Bagus,20 Desember 2019 20 Desember 2019
Witriani 16,undefined undefined undefined undefined undefined,Sangat membantu banget,20 Desember 2019 20 Desember 2019
RAHMAN BIN HERMAN,undefined undefined undefined undefined undefined,Terimakasih buat airy kren tlah brhsil nge refund sya tiket saya,20 Desember 2019 20 Desember 2019
Mustika Agustini,undefined undefined undefined undefined undefined,Harga ya terjangkau hotelnya,20 Desember 2019 20 Desember 2019
Nike Susanti,undefined undefined undefined undefined undefined,jadi memudahkan mencari penginapan bagus sesuai kantong,20 Desember 2019 20 Desember 2019
Sella _SDS_,undefined undefined undefined undefined undefined,Mantap,20 Desember 2019 20 Desember 2019
Henny Rachmawati,undefined undefined undefined undefined undefined,Good,20 Desember 2019 20 Desember 2019
ZANE,undefined undefined undefined undefined undefined,Bagus,20 Desember 2019 20 Desember 2019
Ade Chandra,undefined undefined undefined undefined,"For Room & Ticket, can be easy.. 👍",20 Desember 2019 20 Desember 2019
sudarman usman,undefined undefined undefined undefined undefined,Mantap,20 Desember 2019 20 Desember 2019
ABABIL 91,undefined undefined undefined undefined undefined,The best,20 Desember 2019 20 Desember 2019
Rera Kirana,undefined undefined undefined undefined undefined,Tepat saat d butuhkan,19 Desember 2019 20 Desember 2019
MUHAMMAD HAFIZH ANNUR,undefined undefined undefined undefined,Sangat Berguna,19 Desember 2019 19 Desember 2019
surya hadiwijaya,undefined undefined undefined undefined,"Aplikasinya bagus, bisa bayar di swalayan seperti indomaret",19 Desember 2019 19 Desember 2019
shohib servis,undefined undefined undefined undefined undefined,"Nama saya Achmad Nurizal. Saya tinggal di Samboja Kaltim. Tempat saya sekarang mau jadi Ibu Kota. Dulu waktu saya sebut kecamatan Samboja, org sering melecehkan dan bilang.. Samboja ada di peta kah.. Sekarang kalian tau Samboja jadi Ibukota ha ha ha.",19 Desember 2019 19 Desember 2019
pupu saprudin Ahmad,undefined undefined undefined undefined undefined,Sip markosip,19 Desember 2019 19 Desember 2019
Geordy Susanto,undefined undefined undefined undefined undefined,"airy mantap ,harga tiket sangat murah",19 Desember 2019 19 Desember 2019
muhammad makmun,undefined undefined undefined,sprei kurang bersih,19 Desember 2019 19 Desember 2019
Desak Dian,undefined undefined undefined undefined,good,19 Desember 2019 19 Desember 2019
